"Date","Subject","Group","Behavior","Modifiers","Day_occurrences","Day_duration","Day_visible","Percent_time_visible"
2025-05-30,"Broken beak","Broken beak","Open mouth","",2,NA,822.986,NA
2025-05-30,"Broken beak","Broken beak","Preen","Auto-|Broken beak",1,3.84,822.986,0.00466593599405093
2025-05-30,"Broken beak","Broken beak","Resting","",2,32.104,822.986,0.0390091690502633
2025-05-30,"Broken beak","Broken beak","Wing flutter","",8,NA,822.986,NA
2025-05-30,"No focal subject","No focal","Begging session","Broken beak,Other crow #1",1,10.04,0,NA
2025-05-30,"No focal subject","No focal","Begging session","Broken beak,Other crow #1,Other crow #2",1,11,0,NA
2025-05-30,"No focal subject","No focal","Close proximity","Broken beak|Other crow #1",1,6.52,0,NA
2025-05-30,"No focal subject","No focal","Close proximity","Mutual|Mutual",9,168.2,0,NA
2025-05-30,"No focal subject","No focal","Close proximity","None|None",4,33.4,0,NA
2025-05-30,"No focal subject","No focal","Close proximity","Other crow #1|Broken beak",1,17.12,0,NA
2025-05-30,"No focal subject","No focal","Unclear video","",18,54.923,0,NA
2025-05-30,"Other crow #1","Other crows","Alert","",2,2.56,230.66,0.0110985866643545
2025-05-30,"Other crow #1","Other crows","Feed","Allo-|Successful|Broken beak",2,NA,230.66,NA
2025-05-30,"Other crow #1","Other crows","Feed","Auto-|Successful|None",7,NA,230.66,NA
2025-05-30,"Other crow #1","Other crows","Feed","Auto-|Unknown|None",12,NA,230.66,NA
2025-05-30,"Other crow #1","Other crows","Foraging","",18,187,230.66,0.810717072747767
2025-05-30,"Other crow #1","Other crows","Resting","",1,20.06,230.66,0.086967831440215
2025-05-30,"Other crow #2","Other crows","Alert","",1,4.96,40.76,0.121687929342493
2025-05-30,"Other crow #2","Other crows","Feed","Auto-|Successful|None",1,NA,40.76,NA
2025-05-30,"Other crow #2","Other crows","Feed","Auto-|Unknown|None",2,NA,40.76,NA
2025-05-30,"Other crow #2","Other crows","Foraging","",3,24.8,40.76,0.608439646712463
2025-06-10,"Broken beak","Broken beak","Alert","",11,68.439,1741.873,0.0392904649190842
2025-06-10,"Broken beak","Broken beak","Beg call","",6,NA,1741.873,NA
2025-06-10,"Broken beak","Broken beak","Brief flight","",2,5.68,1741.873,0.00326085770891448
2025-06-10,"Broken beak","Broken beak","Feed","Auto-|Successful|None",39,NA,1741.873,NA
2025-06-10,"Broken beak","Broken beak","Feed","Auto-|Unknown|None",89,NA,1741.873,NA
2025-06-10,"Broken beak","Broken beak","Feed","Auto-|Unsuccessful|None",63,NA,1741.873,NA
2025-06-10,"Broken beak","Broken beak","Foraging","",63,1597.954,1741.873,0.917376869611045
2025-06-10,"Broken beak","Broken beak","Open mouth","",10,NA,1741.873,NA
2025-06-10,"Broken beak","Broken beak","Preen","Auto-|None",3,3.64,1741.873,0.00208970458810717
2025-06-10,"Broken beak","Broken beak","Resting","",1,20.12,1741.873,0.0115507847012957
2025-06-10,"Broken beak","Broken beak","Vocal","",1,NA,1741.873,NA
2025-06-10,"Broken beak","Broken beak","Wing flutter","",29,NA,1741.873,NA
2025-06-10,"No focal subject","No focal","Begging session","Broken beak,Other crow #1",2,46.04,0,NA
2025-06-10,"No focal subject","No focal","Close proximity","Broken beak|Other crow #1",5,72.04,0,NA
2025-06-10,"No focal subject","No focal","Close proximity","Mutual|Mutual",17,294.558,0,NA
2025-06-10,"No focal subject","No focal","Close proximity","Other crow #1|Broken beak",8,209.84,0,NA
2025-06-10,"No focal subject","No focal","Close proximity","Other crow #2|Broken beak",1,5.96,0,NA
2025-06-10,"No focal subject","No focal","Unclear video","",71,422.483,0,NA
2025-06-10,"Other crow #1","Other crows","Alert","",28,165.597,2006.035,0.082549407163883
2025-06-10,"Other crow #1","Other crows","Brief flight","",3,6.16,2006.035,0.00307073405997403
2025-06-10,"Other crow #1","Other crows","Feed","Allo-|Successful|Broken beak",6,NA,2006.035,NA
2025-06-10,"Other crow #1","Other crows","Feed","Allo-|Unknown|Broken beak",1,NA,2006.035,NA
2025-06-10,"Other crow #1","Other crows","Feed","Auto-|Successful|None",31,NA,2006.035,NA
2025-06-10,"Other crow #1","Other crows","Feed","Auto-|Unknown|None",28,NA,2006.035,NA
2025-06-10,"Other crow #1","Other crows","Feed","Auto-|Unsuccessful|None",8,NA,2006.035,NA
2025-06-10,"Other crow #1","Other crows","Foraging","",78,1611.199,2006.035,0.803175916671444
2025-06-10,"Other crow #1","Other crows","Preen","Auto-|None",1,13.32,2006.035,0.00663996390890488
2025-06-10,"Other crow #1","Other crows","Resting","",5,163.719,2006.035,0.0816132320722221
2025-06-10,"Other crow #2","Other crows","Alert","",1,9,135.6,0.0663716814159292
2025-06-10,"Other crow #2","Other crows","Brief flight","",2,3,135.6,0.0221238938053097
2025-06-10,"Other crow #2","Other crows","Feed","Auto-|Successful|None",1,NA,135.6,NA
2025-06-10,"Other crow #2","Other crows","Feed","Auto-|Unknown|None",4,NA,135.6,NA
2025-06-10,"Other crow #2","Other crows","Foraging","",7,54.12,135.6,0.399115044247788
2025-06-10,"Other crow #2","Other crows","Preen","Auto-|None",2,20.6,135.6,0.151917404129793
2025-06-10,"Other crow #2","Other crows","Resting","",3,48.88,135.6,0.36047197640118
2025-06-13,"Broken beak","Broken beak","Alert","",4,34.08,1474.52,0.0231126061362342
2025-06-13,"Broken beak","Broken beak","Beg call","",11,NA,1474.52,NA
2025-06-13,"Broken beak","Broken beak","Feed","Auto-|Successful|None",20,NA,1474.52,NA
2025-06-13,"Broken beak","Broken beak","Feed","Auto-|Unknown|None",101,NA,1474.52,NA
2025-06-13,"Broken beak","Broken beak","Feed","Auto-|Unsuccessful|None",83,NA,1474.52,NA
2025-06-13,"Broken beak","Broken beak","Foraging","",22,1100.8,1474.52,0.74654802918916
2025-06-13,"Broken beak","Broken beak","Preen","Auto-|None",7,222.24,1474.52,0.150720234381358
2025-06-13,"Broken beak","Broken beak","Resting","",2,82.2,1474.52,0.055746954941269
2025-06-13,"Broken beak","Broken beak","Wing flutter","",8,NA,1474.52,NA
2025-06-13,"No focal subject","No focal","Begging session","Broken beak,Other crow #1",2,35.2,0,NA
2025-06-13,"No focal subject","No focal","Close proximity","Broken beak|Other crow #1",1,88.119,0,NA
2025-06-13,"No focal subject","No focal","Close proximity","Mutual|Mutual",8,518.557,0,NA
2025-06-13,"No focal subject","No focal","Close proximity","None|None",1,21.8,0,NA
2025-06-13,"No focal subject","No focal","Close proximity","Other crow #1|Broken beak",1,96.039,0,NA
2025-06-13,"No focal subject","No focal","Unclear video","",24,236.339,0,NA
2025-06-13,"Other crow #1","Other crows","Alert","",1,3.56,730.22,0.00487524307742872
2025-06-13,"Other crow #1","Other crows","Feed","Allo-|Unknown|Broken beak",2,NA,730.22,NA
2025-06-13,"Other crow #1","Other crows","Feed","Auto-|Successful|None",11,NA,730.22,NA
2025-06-13,"Other crow #1","Other crows","Feed","Auto-|Unknown|None",7,NA,730.22,NA
2025-06-13,"Other crow #1","Other crows","Feed","Auto-|Unsuccessful|None",1,NA,730.22,NA
2025-06-13,"Other crow #1","Other crows","Foraging","",17,454.18,730.22,0.621976938456903
2025-06-13,"Other crow #1","Other crows","Preen","Auto-|None",2,8.36,730.22,0.0114486045301416
2025-06-13,"Other crow #1","Other crows","Resting","",4,228.92,730.22,0.313494563282299
2025-06-19,"Broken beak","Broken beak","Alert","",2,24.12,196.818,0.122549766789623
2025-06-19,"Broken beak","Broken beak","Feed","Auto-|Successful|None",7,NA,196.818,NA
2025-06-19,"Broken beak","Broken beak","Feed","Auto-|Unknown|None",26,NA,196.818,NA
2025-06-19,"Broken beak","Broken beak","Feed","Auto-|Unsuccessful|None",3,NA,196.818,NA
2025-06-19,"Broken beak","Broken beak","Foraging","",20,160.258,196.818,0.814244632096658
2025-06-19,"Broken beak","Broken beak","Preen","Auto-|Broken beak",1,0.8,196.818,0.00406466888191121
2025-06-19,"Broken beak","Broken beak","Preen","Auto-|None",4,11.64,196.818,0.0591409322318081
2025-06-19,"No focal subject","No focal","Close proximity","Mutual|Mutual",6,45.64,0,NA
2025-06-19,"No focal subject","No focal","Close proximity","Other crow #1|Broken beak",1,0.2,0,NA
2025-06-19,"No focal subject","No focal","Unclear video","",15,29.258,0,NA
2025-06-19,"Other crow #1","Other crows","Feed","Auto-|Unknown|None",4,NA,387.388,NA
2025-06-19,"Other crow #1","Other crows","Feed","Auto-|Unsuccessful|None",6,NA,387.388,NA
2025-06-19,"Other crow #1","Other crows","Foraging","",11,245.071,387.388,0.632624139106013
2025-06-19,"Other crow #1","Other crows","Preen","Auto-|None",6,16.44,387.388,0.0424380724235134
2025-06-19,"Other crow #1","Other crows","Resting","",5,125.877,387.388,0.324937788470474
2025-06-20,"Broken beak","Broken beak","Alert","",4,25.72,170.999,0.150410236317171
2025-06-20,"Broken beak","Broken beak","Feed","Auto-|Successful|None",1,NA,170.999,NA
2025-06-20,"Broken beak","Broken beak","Feed","Auto-|Unknown|None",3,NA,170.999,NA
2025-06-20,"Broken beak","Broken beak","Feed","Auto-|Unsuccessful|None",3,NA,170.999,NA
2025-06-20,"Broken beak","Broken beak","Foraging","",6,122.16,170.999,0.714390142632413
2025-06-20,"Broken beak","Broken beak","Preen","Auto-|None",3,23.119,170.999,0.135199621050415
2025-06-20,"No focal subject","No focal","Unclear video","",15,46.738,0,NA
2025-06-20,"Other crow #1","Other crows","Alert","",3,14.52,592.239,0.0245171290644486
2025-06-20,"Other crow #1","Other crows","Feed","Auto-|Successful|None",19,NA,592.239,NA
2025-06-20,"Other crow #1","Other crows","Feed","Auto-|Unknown|None",30,NA,592.239,NA
2025-06-20,"Other crow #1","Other crows","Feed","Auto-|Unsuccessful|None",2,NA,592.239,NA
2025-06-20,"Other crow #1","Other crows","Foraging","",14,479.839,592.239,0.810211755726995
2025-06-20,"Other crow #1","Other crows","Preen","Auto-|None",2,71.88,592.239,0.121369919914089
2025-06-20,"Other crow #1","Other crows","Resting","",1,26,592.239,0.0439011952944673
2025-06-27,"No focal subject","No focal","Unclear video","",17,72.856,0,NA
2025-06-27,"Other crow #1","Other crows","Alert","",5,30.277,943.748,0.0320816573915918
2025-06-27,"Other crow #1","Other crows","Foraging","",12,165.194,943.748,0.175040370946481
2025-06-27,"Other crow #1","Other crows","Resting","",14,748.277,943.748,0.792877971661927
2025-06-27,"Other crow #1","Other crows","Vocal","",3,NA,943.748,NA
2025-07-01,"Broken beak","Broken beak","Alert","",3,17.92,957.957,0.0187064763867272
2025-07-01,"Broken beak","Broken beak","Brief flight","",1,4.6,957.957,0.00480188567962863
2025-07-01,"Broken beak","Broken beak","Feed","Auto-|Successful|None",4,NA,957.957,NA
2025-07-01,"Broken beak","Broken beak","Feed","Auto-|Unknown|None",55,NA,957.957,NA
2025-07-01,"Broken beak","Broken beak","Foraging","",48,935.437,957.957,0.976491637933644
2025-07-01,"Broken beak","Broken beak","Open mouth","",1,NA,957.957,NA
2025-07-01,"No focal subject","No focal","Close proximity","Broken beak|Other crow #1",2,42.84,0,NA
2025-07-01,"No focal subject","No focal","Close proximity","Mutual|Mutual",12,246.439,0,NA
2025-07-01,"No focal subject","No focal","Close proximity","Other crow #1|Broken beak",4,143.959,0,NA
2025-07-01,"No focal subject","No focal","Close proximity","Other crow #2|Other crow #1",1,30.96,0,NA
2025-07-01,"No focal subject","No focal","Unclear video","",52,269.411,0,NA
2025-07-01,"Other crow #1","Other crows","Alert","",2,5.4,861.319,0.00626945417435352
2025-07-01,"Other crow #1","Other crows","Feed","Auto-|Successful|None",20,NA,861.319,NA
2025-07-01,"Other crow #1","Other crows","Feed","Auto-|Unknown|None",42,NA,861.319,NA
2025-07-01,"Other crow #1","Other crows","Foraging","",35,813.479,861.319,0.944457280055357
2025-07-01,"Other crow #1","Other crows","Resting","",1,42.44,861.319,0.0492732657702895
2025-07-01,"Other crow #1","Other crows","Vocal","",1,NA,861.319,NA
2025-07-01,"Other crow #2","Other crows","Feed","Auto-|Successful|None",2,NA,249.56,NA
2025-07-01,"Other crow #2","Other crows","Feed","Auto-|Unknown|None",13,NA,249.56,NA
2025-07-01,"Other crow #2","Other crows","Foraging","",5,237.96,249.56,0.953518192017952
2025-07-01,"Other crow #2","Other crows","Resting","",1,11.6,249.56,0.0464818079820484
2025-07-10,"Broken beak","Broken beak","Feed","Auto-|Unknown|None",1,NA,691.56,NA
2025-07-10,"Broken beak","Broken beak","Foraging","",2,82.56,691.56,0.119382266180809
2025-07-10,"Broken beak","Broken beak","Open mouth","",1,NA,691.56,NA
2025-07-10,"Broken beak","Broken beak","Preen","Auto-|None",20,245.32,691.56,0.35473422407311
2025-07-10,"Broken beak","Broken beak","Resting","",13,363.68,691.56,0.525883509746081
2025-07-10,"No focal subject","No focal","Close proximity","Mutual|Mutual",1,47.48,0,NA
2025-07-10,"No focal subject","No focal","Unclear video","",23,124.482,0,NA
2025-07-10,"Other crow #1","Other crows","Feed","Auto-|Unknown|None",1,NA,47.48,NA
2025-07-10,"Other crow #1","Other crows","Foraging","",1,47.48,47.48,1
2025-07-10,"Other crow #2","Other crows","Feed","Auto-|Unknown|None",1,NA,25.8,NA
2025-07-10,"Other crow #2","Other crows","Foraging","",1,25.8,25.8,1
2025-07-11,"No focal subject","No focal","Close proximity","Other crow #1|Other crow #2",1,61.64,0,NA
2025-07-11,"No focal subject","No focal","Unclear video","",8,17.28,0,NA
2025-07-11,"Other crow #1","Other crows","Alert","",4,22.28,1015.637,0.0219369715754743
2025-07-11,"Other crow #1","Other crows","Feed","Auto-|Successful|None",4,NA,1015.637,NA
2025-07-11,"Other crow #1","Other crows","Feed","Auto-|Unknown|None",5,NA,1015.637,NA
2025-07-11,"Other crow #1","Other crows","Foraging","",15,360.839,1015.637,0.355283432958823
2025-07-11,"Other crow #1","Other crows","Preen","Auto-|None",3,26,1015.637,0.0255996975297276
2025-07-11,"Other crow #1","Other crows","Resting","",10,606.518,1015.637,0.597179897935975
2025-07-11,"Other crow #2","Other crows","Feed","Auto-|Successful|None",3,NA,61.24,NA
2025-07-11,"Other crow #2","Other crows","Feed","Auto-|Unknown|None",1,NA,61.24,NA
2025-07-11,"Other crow #2","Other crows","Foraging","",1,61.24,61.24,1
2025-07-15,"Broken beak","Broken beak","Alert","",17,47.96,2524.799,0.0189955715286643
2025-07-15,"Broken beak","Broken beak","Brief flight","",1,2.28,2524.799,0.000903042182763856
2025-07-15,"Broken beak","Broken beak","Feed","Auto-|Successful|None",122,NA,2524.799,NA
2025-07-15,"Broken beak","Broken beak","Feed","Auto-|Unknown|None",212,NA,2524.799,NA
2025-07-15,"Broken beak","Broken beak","Feed","Auto-|Unsuccessful|None",22,NA,2524.799,NA
2025-07-15,"Broken beak","Broken beak","Foraging","",164,2271.679,2524.799,0.8997464748679
2025-07-15,"Broken beak","Broken beak","Preen","Auto-|None",6,42.84,2524.799,0.0169676873287735
2025-07-15,"Broken beak","Broken beak","Resting","",5,160.04,2524.799,0.063387224091898
2025-07-15,"No focal subject","No focal","Close proximity","Mutual|Mutual",2,37.439,0,NA
2025-07-15,"No focal subject","No focal","Close proximity","None|None",4,82.677,0,NA
2025-07-15,"No focal subject","No focal","Close proximity","Other crow #1|Broken beak",4,140.158,0,NA
2025-07-15,"No focal subject","No focal","Unclear video","",166,706.543,0,NA
2025-07-15,"No focal subject","No focal","Within 5m","Mutual|Mutual",3,72.04,0,NA
2025-07-15,"Other crow #1","Other crows","Alert","",1,2.48,507.56,0.00488612183781228
2025-07-15,"Other crow #1","Other crows","Feed","Auto-|Successful|None",31,NA,507.56,NA
2025-07-15,"Other crow #1","Other crows","Feed","Auto-|Unknown|None",44,NA,507.56,NA
2025-07-15,"Other crow #1","Other crows","Feed","Auto-|Unsuccessful|None",2,NA,507.56,NA
2025-07-15,"Other crow #1","Other crows","Foraging","",38,375.08,507.56,0.738986523760738
2025-07-15,"Other crow #1","Other crows","Open mouth","",1,NA,507.56,NA
2025-07-15,"Other crow #1","Other crows","Preen","Auto-|None",1,2.24,507.56,0.00441327133737883
2025-07-15,"Other crow #1","Other crows","Resting","",7,127.76,507.56,0.251714083064071
2025-07-15,"Other crow #2","Other crows","Alert","",1,0.6,57.76,0.010387811634349
2025-07-15,"Other crow #2","Other crows","Feed","Auto-|Unknown|None",7,NA,57.76,NA
2025-07-15,"Other crow #2","Other crows","Feed","Auto-|Unsuccessful|None",1,NA,57.76,NA
2025-07-15,"Other crow #2","Other crows","Foraging","",10,57.16,57.76,0.989612188365651
2025-07-17,"Broken beak","Broken beak","Alert","",4,4.24,749.076,0.00566030683134956
2025-07-17,"Broken beak","Broken beak","Feed","Auto-|Successful|None",5,NA,749.076,NA
2025-07-17,"Broken beak","Broken beak","Feed","Auto-|Unknown|None",50,NA,749.076,NA
2025-07-17,"Broken beak","Broken beak","Feed","Auto-|Unsuccessful|None",1,NA,749.076,NA
2025-07-17,"Broken beak","Broken beak","Foraging","",43,502.36,749.076,0.670639561272821
2025-07-17,"Broken beak","Broken beak","Open mouth","",46,NA,749.076,NA
2025-07-17,"Broken beak","Broken beak","Present head","",12,125.8,749.076,0.16794023570372
2025-07-17,"Broken beak","Broken beak","Resting","",2,27.32,749.076,0.0364715996774693
2025-07-17,"No focal subject","No focal","Begging session","Broken beak,Other crow #2",10,215.156,0,NA
2025-07-17,"No focal subject","No focal","Close proximity","Broken beak|Other crow #1",1,7.2,0,NA
2025-07-17,"No focal subject","No focal","Close proximity","Mutual|Mutual",4,59.238,0,NA
2025-07-17,"No focal subject","No focal","Close proximity","None|None",2,84.44,0,NA
2025-07-17,"No focal subject","No focal","Close proximity","Other crow #2|Broken beak",3,413.118,0,NA
2025-07-17,"No focal subject","No focal","Unclear video","",90,127.428,0,NA
2025-07-17,"No focal subject","No focal","Within 5m","Broken beak|Other crow #1",1,60.76,0,NA
2025-07-17,"No focal subject","No focal","Within 5m","Mutual|Mutual",4,210.48,0,NA
2025-07-17,"No focal subject","No focal","Within 5m","None|None",32,405.193,0,NA
2025-07-17,"No focal subject","No focal","Within 5m","Other crow #1|Other crow #2",1,102.759,0,NA
2025-07-17,"No focal subject","No focal","Within 5m","Other crow #2|Broken beak",1,3.4,0,NA
2025-07-17,"No focal subject","No focal","Within 5m","Other crow #2|Other crow #1",1,16.92,0,NA
2025-07-17,"Other crow #1","Other crows","Alert","",58,184.72,2940.199,0.0628256794863205
2025-07-17,"Other crow #1","Other crows","Brief flight","",1,10.68,2940.199,0.00363240719420692
2025-07-17,"Other crow #1","Other crows","Feed","Auto-|Successful|None",77,NA,2940.199,NA
2025-07-17,"Other crow #1","Other crows","Feed","Auto-|Unknown|None",137,NA,2940.199,NA
2025-07-17,"Other crow #1","Other crows","Feed","Auto-|Unsuccessful|None",7,NA,2940.199,NA
2025-07-17,"Other crow #1","Other crows","Foraging","",129,2105.239,2940.199,0.716019221828182
2025-07-17,"Other crow #1","Other crows","Open mouth","",5,NA,2940.199,NA
2025-07-17,"Other crow #1","Other crows","Preen","Auto-|None",4,32.48,2940.199,0.0110468713172136
2025-07-17,"Other crow #1","Other crows","Resting","",12,607.08,2940.199,0.206475820174077
2025-07-17,"Other crow #1","Other crows","Vocal","",1,NA,2940.199,NA
2025-07-17,"Other crow #2","Other crows","Alert","",3,4.62,812.336,0.00568730180614918
2025-07-17,"Other crow #2","Other crows","Feed","Auto-|Successful|None",2,NA,812.336,NA
2025-07-17,"Other crow #2","Other crows","Feed","Auto-|Unknown|None",7,NA,812.336,NA
2025-07-17,"Other crow #2","Other crows","Foraging","",37,487.2,812.336,0.599751826830277
2025-07-17,"Other crow #2","Other crows","Open mouth","",1,NA,812.336,NA
2025-07-17,"Other crow #2","Other crows","Preen","Allo-|Broken beak",6,59.52,812.336,0.0732701739181816
2025-07-17,"Other crow #2","Other crows","Resting","",2,45.84,812.336,0.0564298516869867
2025-07-17,"Other crow #3","Other crows","Foraging","",5,19.16,20.16,0.950396825396825
2025-07-17,"Other crow #3","Other crows","Foraging","Other crow #1",2,1,20.16,0.0496031746031746
2025-07-22,"Broken beak","Broken beak","Feed","Auto-|Unknown|None",1,NA,94.197,NA
2025-07-22,"Broken beak","Broken beak","Foraging","",5,39.839,94.197,0.422932789791607
2025-07-22,"Broken beak","Broken beak","Present head","",4,38.242,94.197,0.405978958990201
2025-07-22,"Broken beak","Broken beak","Resting","",4,16.118,94.197,0.171109483316878
2025-07-22,"No focal subject","No focal","Begging session","Broken beak,Other crow #1",4,38.24,0,NA
2025-07-22,"No focal subject","No focal","Close proximity","Mutual|Mutual",2,76.36,0,NA
2025-07-22,"No focal subject","No focal","Close proximity","Other crow #1|Broken beak",2,65.24,0,NA
2025-07-22,"No focal subject","No focal","Close proximity","Other crow #2|Broken beak",1,193.639,0,NA
2025-07-22,"No focal subject","No focal","Unclear video","",17,48.4,0,NA
2025-07-22,"No focal subject","No focal","Within 5m","Mutual|Mutual",2,111.798,0,NA
2025-07-22,"Other crow #1","Other crows","Alert","",6,21.439,1315.474,0.0162975474999886
2025-07-22,"Other crow #1","Other crows","Feed","Auto-|Successful|None",7,NA,1315.474,NA
2025-07-22,"Other crow #1","Other crows","Feed","Auto-|Unknown|None",5,NA,1315.474,NA
2025-07-22,"Other crow #1","Other crows","Feed","Auto-|Unsuccessful|None",3,NA,1315.474,NA
